Date,Open,High,Low,Close,Volume
2026-06-15,1445.0,1475.0,1437.5,1458.0,15893600
2026-06-16,1448.0,1450.0,1420.0,1439.0,15234900
2026-06-17,1434.0,1436.0,1413.0,1415.5,14016300
2026-06-18,1400.0,1414.0,1384.5,1414.0,18460800
2026-06-19,1425.5,1425.5,1403.5,1412.5,25085100
2026-06-22,1401.0,1422.0,1400.0,1413.5,11723600
2026-06-23,1400.5,1408.5,1395.0,1397.5,13410000
2026-06-24,1409.0,1422.5,1387.0,1391.5,16467100
2026-06-25,1398.0,1415.0,1395.5,1414.0,13310600
2026-06-26,1421.5,1449.5,1415.0,1449.5,16150100
2026-06-29,1468.5,1483.0,1451.5,1476.0,30893200
2026-06-30,1480.0,1492.0,1467.5,1480.0,20049400
2026-07-01,1488.0,1495.0,1464.5,1472.5,16878100
2026-07-02,1484.0,1543.5,1480.0,1527.0,26070800
2026-07-03,1537.5,1562.0,1521.5,1550.0,18232100
2026-07-06,1572.0,1604.0,1566.5,1599.0,24491500
2026-07-07,1596.5,1602.0,1562.5,1570.5,27073600
2026-07-08,1550.5,1555.0,1520.5,1525.0,16470800
2026-07-09,1510.0,1512.5,1492.5,1502.0,12604200
2026-07-10,1525.0,1525.0,1494.5,1495.5,12499300
2026-07-13,1513.0,1513.5,1490.0,1495.0,8622600
2026-07-14,1521.5,1547.0,1511.0,1513.5,19873500
2026-07-15,,,,,11304200
