Date,Open,High,Low,Close,Volume
2026-06-15,13462.0,13534.0,13172.0,13200.0,1818097
2026-06-16,13248.0,13324.0,11484.0,13284.0,4260905
2026-06-17,13332.0,13472.673828125,13272.0,13472.0,1420704
2026-06-18,13482.0,13506.0,13116.0,13154.0,1591359
2026-06-19,13284.0,15126.0,13156.0,13234.0,4448737
2026-06-22,13240.0,13340.0,13196.0,13290.0,1821832
2026-06-23,13388.0,13706.0,13342.0,13590.0,1873019
2026-06-24,13588.0,14018.0,12640.0,13910.0,2776284
2026-06-25,13862.0,14134.0,13786.0,14062.0,1790946
2026-06-26,14038.0,14326.0,13898.0,14318.0,3946267
2026-06-29,14364.0,14388.0,14200.0,14298.0,1883887
2026-06-30,14356.0,14536.0,14054.0,14100.0,2513351
2026-07-01,14138.0,14232.0,13838.0,13854.0,1804499
2026-07-02,13916.0,14686.0,13894.0,14538.0,2810573
2026-07-03,14538.0,14566.0,14346.0,14456.0,653264
2026-07-06,14500.0,14526.0,13954.0,14100.0,2008203
2026-07-07,14172.0,14478.0,14110.0,14364.0,1528247
2026-07-08,14312.0,14320.0,14086.0,14240.0,1427146
2026-07-09,13204.0,13354.80078125,12388.0,13354.0,7624477
2026-07-10,13322.0,13414.0,12784.0,12834.0,3355018
2026-07-13,12722.0,12810.0,12546.0,12610.0,2741916
2026-07-14,12580.0,12590.0,12328.0,12364.0,3313274
2026-07-15,9892.0,12578.0,9892.0,12566.0,3336596
