Date,Close,High,Low,Open,Volume
2025-07-16,552.4896850585938,554.7663752735701,545.6397460923752,550.9020477285761,258200.0
2025-07-17,558.4310302734375,561.2069884753942,553.2885475922068,553.2885475922068,287700.0
2025-07-18,564.7318115234375,569.1653121824795,559.2598557440516,561.2269416918314,415100.0
2025-07-21,559.6193237304688,565.4907182449875,557.8818814458053,564.0029098735408,263500.0
2025-07-22,558.1614379882812,561.0672108586573,539.2092508588904,558.8205056467452,315000.0
2025-07-23,572.81982421875,573.1793433025381,562.37518232974,564.0327243744568,231700.0
2025-07-24,577.9523315429688,579.6298638588302,568.2066153734951,575.8454362783247,253700.0
2025-07-25,634.1300048828125,635.4480791658253,605.0127340995615,606.1210939696716,658100.0
2025-07-28,630.7349853515625,641.0199510339477,625.732373070475,634.1300308509992,578500.0
2025-07-29,635.2982177734375,636.2867581610631,627.4198190454498,635.5978271782196,418000.0
2025-07-30,638.3937377929688,641.6089929472765,631.7634472433223,633.5907843289924,560800.0
2025-07-31,626.5711059570312,666.6623354472811,615.1378609277339,666.6623354472811,731400.0
2025-08-01,623.7551879882812,631.3740191475091,594.7477423088134,607.8785092335045,508800.0
2025-08-04,628.298583984375,633.9104105106127,620.1106402605403,630.475445373662,340100.0
2025-08-05,624.084716796875,634.6891594290256,612.8811772149086,634.6891594290256,404700.0
2025-08-06,621.3587646484375,624.7937295355293,614.8982076523556,621.8779617150817,299300.0
2025-08-07,616.605712890625,624.0248249020417,612.591580375038,619.7610584926152,220100.0
2025-08-08,617.3146362304688,619.5414120141709,609.1067030272538,619.2018831012606,321400.0
2025-08-11,613.7898559570312,623.0862200393384,610.3948105079933,618.1534516928625,299100.0
2025-08-12,631.6436157226562,632.8518656318568,614.4388683648924,617.5043187524317,347400.0
2025-08-13,615.806884765625,639.4422043145672,602.0071160663211,635.3182475920602,364000.0
2025-08-14,608.8570556640625,617.2347836112966,603.4949246005427,603.4949246005427,239200.0
2025-08-15,604.7330932617188,612.4717437530577,595.9859121163139,608.8570499476039,233200.0
2025-08-18,612.0223999023438,612.4517628807256,603.5748280488939,603.7145767088555,261900.0
2025-08-19,606.2109375,610.973971807721,604.0042128325064,610.973971807721,229500.0
2025-08-20,604.2438354492188,606.5504501822849,588.4370002825405,599.1213430901362,302700.0
2025-08-21,609.9553833007812,610.7741897209231,600.9086541456309,604.1139750279921,225100.0
2025-08-22,609.3463134765625,624.344336674285,608.767145803015,612.7313635580289,222900.0
2025-08-25,608.2679443359375,619.1620023103258,604.8329792926116,609.3463798931783,279300.0
2025-08-26,617.9337768554688,618.8823368871264,607.5689727984219,609.1066956305186,422900.0
2025-08-27,623.086181640625,627.4098576261208,614.6984586633073,614.6984586633073,372800.0
2025-08-28,632.3226318359375,633.3411575912064,623.0861780744177,623.0861780744177,322900.0
2025-08-29,619.0921020507812,632.3226993929956,610.7443586565674,632.3226993929956,353400.0
2025-09-02,619.5014038085938,620.659739157621,595.296912216703,604.9727239786159,298700.0
2025-09-03,626.3614501953125,627.0503812621168,619.3117302413679,622.2574224964858,303200.0
2025-09-04,639.6319580078125,641.1397565184424,625.5825547715177,630.4654084932091,330100.0
2025-09-05,624.4841918945312,639.6519501759367,611.6030582086427,639.6519501759367,429800.0
2025-09-08,620.6697387695312,636.6163221086687,618.7125871682833,629.6365684269412,577500.0
2025-09-09,622.1176147460938,630.675010526632,617.4843953028342,630.675010526632,560800.0
2025-09-10,633.470947265625,640.9099880038234,627.0802956702947,630.794818486219,767700.0
2025-09-11,639.062744140625,647.2407526323805,633.9801714374917,641.0598152160645,666600.0
2025-09-12,628.1588134765625,639.6119879404669,627.6695407674023,636.7561906552365,455300.0
2025-09-15,627.8292236328125,629.4169219647795,615.2477001498518,627.0803219744035,523600.0
2025-09-16,618.0835571289062,626.7009244533583,612.6515208878983,623.226039978975,431200.0
2025-09-17,615.8168334960938,625.1831021099118,610.3448780216528,620.69968710811,381600.0
2025-09-18,627.9990234375,638.1741041408,615.6172179547407,617.4844747431044,706300.0
2025-09-19,631.094482421875,633.7904797553812,612.9111274068741,626.451267555013,10505000.0
2025-09-22,654.86962890625,654.95946298189,621.6783148425473,624.1945831471284,837700.0
2025-09-23,643.755859375,659.4628035395369,640.7801820941002,659.0334405811358,546300.0
2025-09-24,625.6524658203125,652.1336497572636,624.5940205092612,650.9453899409701,462900.0
2025-09-25,624.084716796875,627.0803234375,608.108148046875,614.4987999251842,357400.0
2025-09-26,639.6319580078125,645.0040844232524,625.60254498621,628.6580614910778,396300.0
2025-09-29,639.6918334960938,649.9567472458383,635.2283479012067,643.0568934198494,410400.0
2025-09-30,648.5887451171875,650.2263580105991,639.2324720925963,639.6918203760962,300800.0
2025-10-01,653.9609375,656.916624904219,640.0413483849662,643.5262279810905,407900.0
2025-10-02,659.3130493164062,663.1973060933421,648.7085462343283,652.0736669400619,342400.0
2025-10-03,653.45166015625,662.2787417436147,648.9882352442313,662.0291078417135,321600.0
2025-10-06,669.018798828125,678.0256087269356,656.5371048201376,656.6769144200122,592100.0
2025-10-07,672.0942993164062,684.8156319848327,662.328592757479,679.7730398396277,485300.0
