Date,Close,High,Low,Open,Volume
2025-07-16,129.6821746826172,130.9520177651754,128.2745040356162,130.05622871894212,9893000.0
2025-07-17,118.6275863647461,124.87839525240386,117.89914006157974,124.57323998310622,27560600.0
2025-07-18,121.73822021484375,123.66760328025354,120.36008730805956,120.71446455581035,19571900.0
2025-07-21,122.47650909423828,124.06136086483305,119.7005588985157,122.31901226218373,10308000.0
2025-07-22,123.76605224609375,124.40589298739674,122.28948282421834,122.38791928363261,7098400.0
2025-07-23,123.86448669433594,125.05558510741592,121.32478552749413,124.34683059478841,6439600.0
2025-07-24,123.67745208740234,124.01214505602474,122.75213286204551,123.32307483131761,4708000.0
2025-07-25,124.56339263916016,124.75042716215724,123.49041499436134,123.80541615875528,4741200.0
2025-07-28,124.3763656616211,125.0063680286289,123.66761112118216,124.17949273826389,8168400.0
2025-07-29,126.01042175292969,126.09902732864242,123.51010428577978,124.04167014807607,5834100.0
2025-07-30,126.54200744628906,127.67403803950127,125.09496815418284,125.97106544487477,5359700.0
2025-07-31,124.2188720703125,127.13262746118268,123.84480299185203,125.54778311324422,6722600.0
2025-08-01,125.30167388916016,125.77417186769503,123.51010340759048,123.51010340759048,5453300.0
2025-08-04,127.90043640136719,128.09732434108048,125.45917915741988,125.45917915741988,5671400.0
2025-08-05,128.64857482910156,129.4262281192307,127.23106577426474,127.8807599278051,5355400.0
2025-08-06,128.8848114013672,129.6624796822313,127.78231107658206,128.04809776932146,5170100.0
2025-08-07,129.99716186523438,130.43029127348845,128.68793525226278,129.11122627230745,4690600.0
2025-08-08,132.1824951171875,132.6057861674437,129.69201586241363,129.74123784785382,4985400.0
2025-08-11,129.30812072753906,132.25142150014577,128.51077555694687,131.98563476980087,7125600.0
2025-08-12,128.97341918945312,129.82982463352914,127.59527873941418,129.68217370194387,5657500.0
2025-08-13,127.37871551513672,129.59356963745088,126.32543714315432,129.07184964582993,6723700.0
2025-08-14,127.2605972290039,128.10716431071845,126.5223125072915,127.08341610560466,9688300.0
2025-08-15,129.6920166015625,130.28265038932864,127.64450516319874,127.8906000713611,6784500.0
2025-08-18,128.23513793945312,130.2334273763338,128.12685557989818,129.57389483011397,3831400.0
