Date,Open,High,Low,Close,Volume
2025-07-15,10660.165778369439,10712.156832625225,10480.196744407096,10494.1943359375,1440667.0
2025-07-16,10450.202326232513,10526.189254743196,10318.225029345534,10434.205078125,1465976.0
2025-07-17,10392.211475973078,10480.196333572234,10298.227650810342,10310.2255859375,1296345.0
2025-07-18,10292.2294921875,10350.219516526617,10232.23981183669,10292.2294921875,1470444.0
2025-07-21,10264.234386834807,10278.23197902414,10176.249521644719,10230.240234375,2460332.0
2025-07-22,10214.24311500797,10436.204936810218,10196.246210537516,10350.2197265625,2054805.0
2025-07-23,10484.196398667322,10682.1623424911,10464.199838685123,10672.1640625,1968248.0
2025-07-24,10768.147417240223,10998.107854191501,10733.686549111155,10904.1240234375,1827824.0
2025-07-25,10862.13191712183,10908.124007345283,10764.148768384905,10800.142578125,6844997.0
2025-07-28,10958.114305780815,11002.106735475556,10697.529264963148,10788.1435546875,5723914.0
2025-07-29,10998.10726468677,11226.068033445734,10742.151313799515,11156.080078125,5839192.0
2025-07-30,11060.097448503273,11496.597557322257,11060.097448503273,11496.0224609375,4702408.0
2025-07-31,11512.019069185193,11552.012187368917,11246.064833263423,11322.0517578125,2856741.0
2025-08-01,11088.09225208821,11160.079866348839,10844.134225982754,11102.08984375,2265511.0
2025-08-04,11106.089776050087,11134.641505837955,10932.119698535436,11134.0849609375,2619721.0
2025-08-05,11218.0703125,11268.06171317959,11152.081663602941,11218.0703125,1929022.0
2025-08-06,11202.072831737945,11272.060791236487,11052.0986328125,11052.0986328125,1355456.0
2025-08-07,10898.881109089612,11020.86858572346,10808.890347638413,10948.8759765625,5872552.0
2025-08-08,11108.859608902903,11118.85858244827,10874.883627941312,10920.87890625,3307227.0
2025-08-11,10990.871703968829,11108.859591620605,10984.872319850941,11034.8671875,2952554.0
2025-08-12,11022.86866740709,11100.860662695348,10992.871746142377,11084.8623046875,2207453.0
2025-08-13,11184.851680772948,11442.8251953125,11156.854555164005,11442.8251953125,1598480.0
2025-08-14,11440.825330342115,11584.810546875,11402.829231534826,11584.810546875,2115415.0
2025-08-15,11616.807879019474,11652.80418506567,11536.816087805706,11590.810546875,2185395.0
2025-08-18,11694.799233791959,11774.7910206168,11640.804777685189,11736.794921875,3644208.0
2025-08-19,11708.798403748833,11830.467558276207,11684.800866456777,11780.791015625,5698126.0
2025-08-20,11796.788781827978,12042.763526727935,11776.790835088144,11974.7705078125,1329692.0
2025-08-21,11936.774959731387,12060.762235238733,11898.778859172684,12046.763671875,768494.0
2025-08-22,11932.774974476208,12124.75526566939,11930.77517977628,11966.771484375,1009953.0
2025-08-26,11874.780839369947,12085.006326240993,11776.810429051238,11870.78125,2980596.0
2025-08-27,11896.778992295385,11968.771603443922,11818.786996884473,11874.78125,1352887.0
2025-08-28,11906.778029410987,11914.777208470046,11768.7921906422,11808.7880859375,1255394.0
2025-08-29,11856.783060492207,11856.783060492207,11784.790449566635,11788.7900390625,1041551.0
