Date,Open,High,Low,Close,Volume
2026-06-15,272.3999938964844,275.04998779296875,269.45001220703125,270.1499938964844,889196
2026-06-16,273.25,280.3500061035156,273.25,276.95001220703125,910512
2026-06-17,277.04998779296875,286.0,276.95001220703125,282.75,1190354
2026-06-18,287.3500061035156,291.6499938964844,286.1499938964844,291.0,1970605
2026-06-19,288.95001220703125,291.8500061035156,287.54998779296875,289.25,2184702
2026-06-22,289.6000061035156,293.70001220703125,288.29998779296875,292.75,1055527
2026-06-23,284.8999938964844,285.6000061035156,277.29998779296875,279.5,924999
2026-06-24,280.1000061035156,282.8500061035156,277.8999938964844,280.5,771112
2026-06-25,282.0,284.29998779296875,278.8500061035156,279.54998779296875,758349
2026-06-26,277.6000061035156,279.8500061035156,272.54998779296875,276.04998779296875,1167137
2026-06-29,278.75,279.3500061035156,274.3999938964844,278.1000061035156,772141
2026-06-30,282.29998779296875,287.70001220703125,282.04998779296875,285.3999938964844,920695
2026-07-01,281.1499938964844,281.45001220703125,272.6000061035156,276.6499938964844,966354
2026-07-02,272.0,279.20001220703125,270.6000061035156,275.8999938964844,702616
2026-07-03,275.3500061035156,281.70001220703125,274.6499938964844,280.1000061035156,621910
2026-07-06,278.1499938964844,279.25,275.1000061035156,278.3500061035156,459935
2026-07-07,275.95001220703125,276.04998779296875,267.3500061035156,268.0,850313
2026-07-08,267.95001220703125,267.95001220703125,261.45001220703125,263.79998779296875,1244070
2026-07-09,269.95001220703125,271.70001220703125,267.45001220703125,270.0,725484
2026-07-10,267.54998779296875,269.8999938964844,266.1000061035156,269.6499938964844,643592
2026-07-13,264.25,268.8500061035156,264.1000061035156,268.54998779296875,500069
2026-07-14,264.75,273.8999938964844,263.8500061035156,273.1000061035156,898158
2026-07-15,273.5,276.29998779296875,269.79998779296875,270.1499938964844,671054
