Date,Open,High,Low,Close,Volume
2026-06-15,183.0800018310547,187.24000549316406,182.8000030517578,183.67999267578125,1443230
2026-06-16,184.5,186.94000244140625,184.24000549316406,185.3000030517578,818482
2026-06-17,185.27999877929688,188.5800018310547,185.0,187.02000427246094,1157152
2026-06-18,189.24000549316406,193.77999877929688,188.24000549316406,191.94000244140625,2184091
2026-06-19,191.25999450683594,193.24000549316406,189.4199981689453,189.4199981689453,1937010
2026-06-22,190.24000549316406,191.0,187.1199951171875,189.52000427246094,1000961
2026-06-23,188.47999572753906,194.86000061035156,187.5,193.25999450683594,1225955
2026-06-24,192.8000030517578,195.10000610351562,191.5399932861328,195.10000610351562,1232859
2026-06-25,195.02000427246094,196.89999389648438,193.24000549316406,195.0800018310547,1052320
2026-06-26,193.97999572753906,194.5,190.33999633789062,191.89999389648438,855338
2026-06-29,192.16000366210938,192.16000366210938,189.22000122070312,191.5800018310547,776438
2026-06-30,192.4199981689453,195.1999969482422,191.75999450683594,194.5399932861328,1361858
2026-07-01,195.1999969482422,199.75999450683594,194.9199981689453,198.22000122070312,1648432
2026-07-02,197.39999389648438,204.85000610351562,197.27999877929688,203.89999389648438,1545828
2026-07-03,208.0,209.1999969482422,204.9499969482422,206.14999389648438,794284
2026-07-06,206.0,210.25,206.0,209.39999389648438,1118223
2026-07-07,209.10000610351562,210.9499969482422,203.5,203.9499969482422,1192922
2026-07-08,201.9499969482422,202.10000610351562,197.36000061035156,197.36000061035156,1337317
2026-07-09,200.0,200.0500030517578,194.0399932861328,196.52000427246094,1060745
2026-07-10,196.94000244140625,197.33999633789062,194.72000122070312,197.25999450683594,692005
2026-07-13,195.5800018310547,196.66000366210938,193.94000244140625,195.27999877929688,648382
2026-07-14,193.39999389648438,195.94000244140625,191.6199951171875,195.94000244140625,700561
2026-07-15,193.52000427246094,196.6999969482422,192.52000427246094,195.3800048828125,886781
