Date,Open,High,Low,Close,Volume
2026-01-15,5928.847144171795,5971.203088215554,5905.20661726365,5962.337890625,5770600.0
2026-01-16,5910.131653893952,5974.15808014447,5906.191566124689,5944.607421875,3956600.0
2026-01-19,5948.547607703932,5968.248046875,5872.700916895321,5968.248046875,3850700.0
2026-01-20,5956.427967336726,5964.308143248532,5894.37158203125,5894.37158203125,4394600.0
2026-01-21,5823.449815528871,5841.180210772362,5721.992553857783,5731.8427734375,7341900.0
2026-01-22,5764.348301241718,5784.0487397285315,5706.232007705617,5723.96240234375,6064100.0
2026-01-23,5713.1271997653585,5804.734239347803,5690.471695352496,5772.228515625,5465400.0
2026-01-26,5630.38542366095,5644.17573085676,5547.643580486087,5592.95458984375,6638300.0
2026-01-27,5565.373974245632,5588.029478919552,5509.227723532003,5553.5537109375,5362100.0
2026-01-28,5496.422692855784,5515.1381106271565,5463.916967252872,5497.40771484375,4696000.0
2026-01-29,5476.721891728234,5594.924522484958,5446.18621211608,5566.35888671875,4698600.0
2026-01-30,5634.325549480531,5654.0259884647285,5579.164320324778,5641.220703125,4792200.0
2026-02-02,5739.722849271693,5769.273507496878,5654.025940418657,5668.80126953125,5238400.0
2026-02-03,5806.704165982799,5884.520896960346,5781.093596293987,5860.88037109375,5922700.0
2026-02-04,5811.62960186989,5846.105370694542,5753.513305851192,5783.06396484375,5467900.0
2026-02-05,5865.805725404366,5915.056823014814,5829.359913172634,5880.5810546875,5770300.0
2026-02-06,5905.206568591189,5950.517578125,5860.880581003766,5950.517578125,3761100.0
2026-02-09,6121.911262930529,6121.911262930529,6006.663697723309,6036.21435546875,6374300.0
2026-02-10,6097.285938342133,6181.012805023729,6051.974928137975,6168.20751953125,6636800.0
2026-02-12,6144.567101986318,6242.084277859458,6126.83670637302,6155.40234375,5013700.0
2026-02-13,6243.069004678567,6267.6945529772365,6165.252272054773,6202.68310546875,8215800.0
2026-02-16,6249.964466058361,6289.365345277011,6158.357421875,6158.357421875,6045200.0
2026-02-17,6177.072496480123,6204.6531104015785,6112.061049379551,6154.4169921875,5114200.0
2026-02-18,6264.739578308313,6417.417979980921,6251.934293006739,6380.97216796875,6159200.0
2026-02-19,6416.433216569654,6416.433216569654,6284.4402704504755,6324.826171875,5167400.0
2026-02-20,6207.608293466457,6378.01708984375,6198.743095967061,6378.01708984375,7205200.0
2026-02-24,6373.0919139392745,6373.0919139392745,6181.012636780363,6245.0390625,7063500.0
2026-02-25,6251.934351034148,6290.350207295426,6160.327309180331,6277.544921875,4849100.0
2026-02-26,6440.073497139475,6513.950143252271,6362.256763233996,6383.92724609375,6525300.0
2026-02-27,6468.6391593333465,6468.6391593333465,6360.286744604145,6429.23828125,5594200.0
2026-03-02,6195.788051087682,6281.484960538339,6124.866470852657,6265.724609375,5608100.0
2026-03-03,6167.222233562342,6173.132365075099,6005.678638880306,6027.34912109375,5856100.0
2026-03-04,6005.678732501971,6026.364193119085,5854.970376577287,5932.787109375,7741700.0
2026-03-05,6129.791539549519,6218.443514249738,6099.255859375,6099.255859375,7626700.0
