Date,Open,High,Low,Close,Volume
2026-06-15,1532.5,1544.5,1501.5,1501.5,7916883
2026-06-16,1500.0,1513.0,1485.4139404296875,1506.5,9215073
2026-06-17,1504.5,1518.0,1495.0,1506.5,4327807
2026-06-18,1495.0,1533.5999755859375,1493.0,1529.0,5693335
2026-06-19,1534.5,1540.0,1525.4940185546875,1530.0,10785542
2026-06-22,1529.5,1533.0,1498.5,1517.0,4730956
2026-06-23,1509.0,1561.0,1506.0479736328125,1551.5,3848090
2026-06-24,1550.0,1585.7340087890625,1549.5,1580.0,3810086
2026-06-25,1566.5,1584.625,1555.0,1562.0,5021464
2026-06-26,1571.0,1584.5,1558.0,1576.5,10207977
2026-06-29,1571.0,1601.0069580078125,1556.0989990234375,1566.5,3457662
2026-06-30,1561.5,1564.0,1522.5,1522.5,6720512
2026-07-01,1514.0,1521.5,1466.8680419921875,1483.5,9292373
2026-07-02,1494.5,1544.5,1484.5,1537.5,5354749
2026-07-03,1539.0,1540.0,1509.0,1534.0,2001136
2026-07-06,1539.0,1553.0,1503.0,1512.0,2876833
2026-07-07,1530.5,1589.5,1528.5,1564.5,5097344
2026-07-08,1547.5,1554.0,1500.0,1509.0,3240136
2026-07-09,1499.0,1644.5,1474.75,1505.5,4468126
2026-07-10,1503.5,1731.0,1492.5,1524.0,2639878
2026-07-13,1528.5,1579.0,1295.5,1547.0,3568646
2026-07-14,1529.0,1535.2879638671875,1502.5,1517.5,4737901
2026-07-15,1512.5,1539.5,1504.5,1531.5,3949856
