ts,Close
2025-07-16,497.34989080219316
2025-07-17,499.30457568677446
2025-07-18,501.3753940870302
2025-07-19,514.3127715845742
2025-07-20,513.565616609649
2025-07-21,548.0588472468426
2025-07-22,523.4120220879868
2025-07-23,526.0055559737448
2025-07-24,512.1766066244938
2025-07-25,511.95650492933584
2025-07-26,556.9732921177886
2025-07-27,560.2234892664839
2025-07-28,590.1073775812321
2025-07-29,570.3837931527934
2025-07-30,563.4696502039908
2025-07-31,590.8993302120087
2025-08-01,562.0178234848709
2025-08-02,535.2332691029555
2025-08-03,520.1946601786307
2025-08-04,544.3666370803008
2025-08-05,574.3688280436435
2025-08-06,551.4149884304436
2025-08-07,571.0469231908577
2025-08-08,582.3164684447577
2025-08-09,586.5635137961702
2025-08-10,568.4054651222384
2025-08-11,570.8544465214692
2025-08-12,579.2476423891578
2025-08-13,618.7474513030985
2025-08-14,616.9868972328236
2025-08-15,594.3128245336318
2025-08-16,592.4562078037472
2025-08-17,587.7868357205849
2025-08-18,583.2812262520596
2025-08-19,569.4439980070376
2025-08-20,548.086046933677
2025-08-21,560.4155707234017
2025-08-22,553.7758183859783
2025-08-23,599.9369342417166
2025-08-24,591.011882723275
2025-08-25,584.3691903621187
2025-08-26,544.6210774693704
2025-08-27,550.7400916500146
2025-08-28,550.0996676608872
2025-08-29,557.6185816431458
2025-08-30,531.5496862272167
2025-08-31,553.4503348394701
2025-09-01,544.7993674230516
2025-09-02,544.2627402904709
2025-09-03,584.5826192288124
2025-09-04,602.9625550217629
2025-09-05,586.7346963937669
2025-09-06,606.8621527060757
2025-09-07,595.2667329961525
2025-09-08,603.262291506638
2025-09-09,588.2240984107035
2025-09-10,580.4313453161567
2025-09-11,580.4640664516942
2025-09-12,595.9926018497777
2025-09-13,599.1186422924313
2025-09-14,598.4925508805045
2025-09-15,601.1006314234028
2025-09-16,593.6100749155524
2025-09-17,598.7803798321473
2025-09-18,617.9285500033538
2025-09-19,624.3524738541199
2025-09-20,600.5335560677605
2025-09-21,594.9174746146807
2025-09-22,594.1785913625355
2025-09-23,567.859266446465
2025-09-24,557.274455221276
2025-09-25,556.1274520887084
2025-09-26,536.0593554535681
2025-09-27,548.4206187442672
2025-09-28,544.1952949156362
2025-09-29,556.1971857142039
2025-09-30,561.1453561829459
2025-10-01,559.905509544359
2025-10-02,592.8567789807958
2025-10-03,595.0200551451378
2025-10-04,609.5403891425645
2025-10-05,590.5512841589833
2025-10-06,594.1160535775364
2025-10-07,599.6021319955806
2025-10-08,576.8400282344555
2025-10-09,583.2274868991292
2025-10-10,580.2146392831987
2025-10-11,520.2509141881071
2025-10-12,500.51401620388793
2025-10-13,541.6402409135136
2025-10-14,546.6799621237868
2025-10-15,539.2489864469007
2025-10-16,522.5372084391172
2025-10-17,503.9759476877491
2025-10-18,470.0265685760401
2025-10-19,468.3056070533806
2025-10-20,472.85845302180246
2025-10-21,479.12070888848933
2025-10-22,481.5535819308917
2025-10-23,473.4763204303871
2025-10-24,480.98975548990467
2025-10-25,502.31347647368045
2025-10-26,508.23708772891024
2025-10-27,558.248633354504
2025-10-28,556.2885122002152
2025-10-29,558.302790340647
2025-10-30,557.3432571970644
2025-10-31,541.2886840119161
2025-11-01,536.7359797665563
2025-11-02,554.5711555707456
2025-11-03,536.2279466030601
2025-11-04,504.931979462231
2025-11-05,481.4398832893058
2025-11-06,489.75942095974324
2025-11-07,471.8769988547997
2025-11-08,510.8521990027757
2025-11-09,495.67311070323404
2025-11-10,502.53720360478235
2025-11-11,517.0913579332539
2025-11-12,505.1360494901352
2025-11-13,506.6489466588028
2025-11-14,509.084432660278
2025-11-15,481.87970775266757
2025-11-16,502.1592128327599
2025-11-17,484.36704380666316
2025-11-18,490.28209495016574
2025-11-19,523.1361510778842
2025-11-20,485.2058008721653
2025-11-21,480.863732575351
2025-11-22,533.609941522437
2025-11-23,557.3311675115526
2025-11-24,539.7868317556973
2025-11-25,549.7480027307822
2025-11-26,527.1663291308781
2025-11-27,544.4576957129538
2025-11-28,532.6372022218095
2025-11-29,549.4973527637612
